date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jan%202020%2006:00:45%20GMT	http://radixtouch.in/robots.txt		(from )
11:31:00	82866/82866	---M-Z	200	added ('OK')	text/html	etag:%22d24c15-143b2-595282abfda00-gzip%22	http://radixtouch.in/templates/admin/smart/source/light/	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/index.html	(from )
11:31:00	12940/12940	---M--	200	added ('OK')	text/css	etag:%22d24c10-328c-57cf4e320df00%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/simple-line-icons/simple-line-icons.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/simple-line-icons/simple-line-icons.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:01	30999/30999	---M--	200	added ('OK')	text/css	etag:%22d24bf6-7917-57cf4e39af100%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/css/font-awesome.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:02	1146/1146	---M--	200	added ('OK')	text/css	etag:%22d24c04-47a-57cf4e320df00%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/material-design-icons/material-icon.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/material-design-icons/material-icon.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:04	140936/140936	---M--	200	added ('OK')	text/css	etag:%22d24eed-22688-57cf4e320df00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:05	15522/15522	---M--	200	added ('OK')	text/css	etag:%22d2515e-3ca2-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/summernote.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/summernote.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:06	141295/141295	---M--	200	added ('OK')	text/css	etag:%22d25086-227ef-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/material/material.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/material/material.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:08	3079/3079	---M--	200	added ('OK')	text/css	etag:%22d24d38-c07-57cf4e39af100%22	http://radixtouch.in/templates/admin/smart/source/assets/css/material_style.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/css/material_style.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:31:08	10693/10693	---M--	200	added ('OK')	text/css	etag:%22d24d3c-29c5-57cf4e3d7fa00%22	http://radixtouch.in/templates/admin/smart/source/assets/css/pages/inbox.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/css/pages/inbox.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/)
